Id,Account_status,Salary,Internal_PD,External_PD,Loan_amount,Profit,Banking_with_bank,Months_on_book,External_utilisation,Internal_utilisation,Spend_percentage,Probability,Profit_score
18062,In_order,559488.0,0.0511425462459194,0.0681818181818181,40000.0,-401.62,1,32.0,0.4590704429920116,0.621417,0.241628,0.3529044927978353,4.0
18069,In_order,102408.0,0.0571273122959738,0.3579545454545454,6600.0,92.66,0,17.0,0.4843404255319149,0.555169,0.36283,0.4976251496548421,5.0
18070,In_order,114792.0,0.0195865070729053,0.4659090909090909,21600.0,591.71,1,93.0,0.9565042536736272,0.866445,0.168804,0.4613219527781481,5.0
18074,In_order,204000.0,0.0,0.6079545454545454,5000.0,82.38,1,24.0,0.0634385569334836,0.240028,0.388757,0.698447840357712,7.0
18086,In_order,350472.0,0.0723612622415669,0.1022727272727272,25000.0,747.56,1,23.0,0.1890723083035359,0.648246,0.087626,0.5030866663717218,6.0
18088,In_order,546000.0,0.0092491838955386,0.0795454545454545,85000.0,428.34,0,61.0,0.6351927850405428,0.707472,0.104197,0.4397783672801822,5.0
18106,In_order,142464.0,0.1430903155603917,0.3409090909090909,5000.0,82.19,1,14.0,0.3256208053691275,0.508174,0.275782,0.7345448698179449,8.0
18110,In_order,660000.0,0.0620239390642002,0.3977272727272727,18500.0,-21.44,0,335.0,0.3883665855636659,0.64488,0.073364,0.4341036304526908,5.0
18114,In_order,285756.0,0.0223068552774755,0.2954545454545454,85300.0,-142.43,0,49.0,0.2857366548042704,0.471538,0.250205,0.3916886431184057,4.0
18128,In_order,180000.0,0.0038084874863982,0.1306818181818181,20500.0,509.11,0,86.0,0.5287372330547818,0.857105,0.630855,0.6382326639409948,7.0
18135,In_order,226476.0,0.0511425462459194,0.6079545454545454,5000.0,101.93,1,23.0,0.079558277654046,0.950921,0.441572,0.780202856171633,8.0
18150,In_order,90000.0,0.4455930359085963,0.3352272727272727,14000.0,335.46,1,89.0,1.1508726752503575,0.8884,0.08464,0.5434522038511808,6.0
18154,In_order,370272.0,0.0,0.7159090909090909,62400.0,827.05,1,140.0,0.4947445712694877,0.896005,0.041021,0.4465733603257001,5.0
18166,In_excess,183240.0,0.3068552774755169,0.5681818181818182,27500.0,917.65,1,71.0,1.0075704859028194,1.020617,0.015236,0.5203533527846957,6.0
18169,In_order,276000.0,0.0571273122959738,0.5965909090909091,7400.0,97.39,1,16.0,0.1658031442241968,0.904331,1.129255,0.5411347706487809,6.0
18174,In_order,255348.0,0.0571273122959738,0.5909090909090909,2300.0,39.31,0,13.0,0.0194367816091954,0.480375,0.080159,0.6148687171236996,7.0
18193,In_order,235584.0,0.1430903155603917,0.7102272727272727,17400.0,76.36,1,21.0,0.6363661352391424,0.867414,0.261366,0.3641403568582598,4.0
18200,In_order,324840.0,0.0195865070729053,0.1420454545454545,60000.0,650.24,1,48.0,1.136737762237762,0.887226,0.13056,0.4226845166543012,5.0
18201,In_order,300000.0,0.1583242655059847,0.3238636363636363,5000.0,-215.66,0,115.0,0.1047426937738246,0.725528,0.284556,0.4850997592431467,5.0
18206,In_order,90528.0,0.0859630032644178,0.5284090909090909,6000.0,225.31,0,13.0,0.9232830188679244,0.568328,0.560639,0.7486446932375989,8.0
18212,In_order,313272.0,0.0,0.5681818181818182,30000.0,230.17,1,24.0,0.4318659793814433,0.464137,0.141648,0.6784169093758254,7.0
18225,In_order,180000.0,0.0195865070729053,0.5170454545454546,20700.0,-1527.76,0,23.0,0.4071255060728745,0.73664,0.269729,0.3555969639081298,4.0
18237,In_order,141120.0,0.1316648531011969,0.4431818181818182,30800.0,-227.45,1,70.0,0.4218100890207715,0.812261,0.123198,0.4317349933312756,5.0
18238,In_order,387420.0,0.0859630032644178,0.3068181818181818,8400.0,255.19,1,34.0,0.2100491288492706,0.748829,0.474326,0.6193902656239978,7.0
18239,In_order,319920.0,0.0223068552774755,0.6647727272727273,17600.0,95.61,0,55.0,0.5096601441812565,0.712323,0.165523,0.4956417155434006,5.0
18241,In_order,360000.0,0.0223068552774755,0.1193181818181818,55000.0,206.03,0,51.0,0.3878737300435413,0.290761,0.078303,0.4612691234676822,5.0
18244,In_order,914280.0,0.0418933623503808,0.0738636363636363,50000.0,931.67,1,270.0,0.2333752371916508,0.27044,1.347003,0.7646671992436358,8.0
18248,In_order,264000.0,0.2415669205658324,0.4261363636363636,30400.0,-387.58,1,56.0,0.3758386866523912,0.23723,0.08925,0.5283441327741822,6.0
18257,In_order,300000.0,0.0625680087051142,0.5284090909090909,17000.0,399.8,0,19.0,0.4038231353282716,0.807992,0.263915,0.5852690813505509,6.0
18260,In_order,684648.0,0.0081610446137105,0.1477272727272727,86700.0,269.89,0,360.0,0.8713892647722147,0.203615,0.126174,0.4360432100552734,5.0
